agency,approved_usd,items
DIT,5443108460.08,437
DGS,2659067631.21,156
VARIOUS,1446585480.0,43
DOT,1331227771.96,423
DOHR,594504655.67,123
MDH,557265355.43,132
LOTT,439254282.0,8
COMP,354023771.55,116
ELECTLAW,293210083.96,59
MDL,269729860.6,52
PS,252242930.25,151
EDUC,252015601.22,121
DBM,138003002.77,45
MSP,134405331.98,55
UMS,115500000.0,2
HCD,55256049.94,35
Various,44176965.0,3
TREAS,36745904.36,11
WORKCOMP,29736595.0,8
MORG,24952033.0,3
MIEMSS,19775345.0,4
DJS,19506053.66,27
HMH,18426612.0,16
DLLR,17672122.0,7
STMRYCOL,14824311.0,6
SUP,14608004.79,8
MPT,14077838.0,8
DNR,13046991.7,14
ATTYGEN,11452703.0,6
BCCC,8718953.0,7
RETAGCY,8349897.64,7
DAAT,7363273.0,6
HRCOMM,3143188.0,1
MCA,2563995.0,3
DSCI,2285100.0,3
MIA,2002308.96,7
ARCHIVES,1929380.37,4
DEFENDER,1762800.0,2
MHEC,1665149.6,7
GOCPYVS,1466989.0,1
MCHR,1464405.0,1
Maryland 529,1259474.0,1
COMM,954072.0,3
MEMA,806830.0,5
REGWILL,793672.84,1
MSL,714179.0,2
DENV,583564.32,2
SOS,490000.0,1
OFCPLAN,481827.0,2
OFADHEAR,248848.0,1
DOIT,229824.0,2
PSC,174750.0,1
GOVOFCCP,134226.0,1
EXEC,134225.0,1
OCYF,134225.0,1
MDP,133440.0,1
RS,0.0,1
