year,approved_usd_agenda_items,approved_usd_bundled_task_orders,approved_usd,agenda_items,bundled_task_orders
2016,557881530.0,0.0,557881530.0,108,0
2017,803278196.0,0.0,803278196.0,90,0
2018,490051070.0,0.0,490051070.0,101,0
2019,557246059.0,0.0,557246059.0,90,0
2020,1217618107.0,195574630.34,1413192737.34,138,117
2021,1460515535.0,583707693.2,2044223228.2,121,112
2022,1355345723.0,473927154.14,1829272877.14,124,173
2023,1400226821.0,352710229.35,1752937050.35,131,175
2024,1190040386.0,304714075.16,1494754461.16,152,174
2025,2526030170.0,214286800.39,2740316970.39,128,111
2026,958886255.0,22349909.28,981236164.28,88,21
