vendor,vendor_key,approved_usd,items
"Scientific Games International, Inc.",scientific games international,411902358.0,5
SHI International Corp.,shi international,347340535.97,37
"Amazon Web Services, Inc.",amazon web services,241370000.0,1
Deloitte Consulting LLP,deloitte consulting,216198158.0,9
"Motorola Solutions, Inc.",motorola solutions,213071946.06,16
TransCore LP,transcore,195102355.0,5
Carahsoft Technology Corporation,carahsoft technology,191616482.37,54
"Digital Management, LLC",digital management,182000000.0,6
Strategic Communications,strategic communications,168000000.0,2
"Revenue Solutions, Inc.",revenue solutions,145053109.0,5
"Elections Systems and Software, LLC",elections systems and software,123528799.0,16
"Colossus, Inc., d/b/a InterAct Public Safety Systems",colossus d b a interact public safety systems,111422347.0,8
"Applied Technology Services, Inc.",applied technology services,108487880.12,121
Accenture,accenture,97759100.0,1
"Oakland Consulting Group, Inc.",oakland consulting group,92525183.74,13
FEI Systems,fei systems,85719760.0,3
Triad Technology Partners LLC,triad technology partners,76708719.0,6
IBM Corporation,ibm,71597121.0,41
"FAST Enterprises, LLC",fast enterprises,67500152.0,3
"Scheidt and Bachmann USA, Inc.",scheidt and bachmann usa,63640693.0,1
"Skyline Technology Solutions, LLC",skyline technology solutions,63520290.22,13
"Conduent State & Local Solutions, Inc.",conduent state and local solutions,63049979.46,11
"CSC Government Solutions, LLC",csc government solutions,56446462.0,2
"Sagitec Solutions, LLC",sagitec solutions,55816543.0,4
"Motorola, Inc.",motorola,54510792.0,3
"SADA Systems, Inc.",sada systems,53948196.0,3
"The Canton Group, LLC",canton group,52598781.1,9
Global Tel Link Corporation,global tel link gtl,51025371.0,2
Deloitte Consulting LLP Services.,deloitte consulting services,50000000.0,1
"Teradata Government Systems, LLC",teradata government systems,44764052.0,3
"Kapsch TrafficCom USA, Inc.",kapsch trafficcom usa,44683641.0,3
"Trapeze Software Group, Inc.",trapeze software group,42773253.0,10
Tenex Software Solutions,tenex software solutions,40092333.0,1
"Gantech, Inc.",gantech,37728329.8,17
Verizon Maryland LLC,verizon maryland,36972840.0,7
"A&T Systems, Inc.",a and t systems,36294385.0,9
NEC Corporation,nec of america,33906755.05,23
"General Dynamics Information Technology, Inc.",general dynamics information technology,32073146.0,1
"CAS Severn, Inc.",cas severn,32021840.1,35
WBCM,wbcm,31763485.6,1
"Fusion Capital Management, LLC d/b/a Fusion",fusion capital management d b a fusion,31214426.0,1
"Business Solutions Group, Inc.",business solutions group,30577219.28,9
"HP, Inc.",hp,30000000.0,1
"Bentley Systems, Inc.",bentley systems,29651428.0,2
"Communications Electronics, Inc. (CEI)",communications electronics cei,29407962.44,4
Verizon Wireless,verizon wireless,28800000.0,1
IGT Global Solutions Corporation,igt global solutions,26931024.0,1
"Advanced Computer Concepts, Inc.",advanced computer concepts,26433111.54,29
Alorica,alorica,26237520.0,1
"GCOM Software, LLC",gcom software,25564346.0,1
"Elections Systems and Software (ES&S), LLC",elections systems and software es and s,25073643.0,7
"DSR, Inc.",dsr,22656711.7,33
"NICUSA, Inc.",nic usa,22560000.0,8
"Bithgroup Technologies, Inc.",bithgroup technologies,22149153.8,4
"Blackwood Associates, Inc.",blackwood associates,22027082.4,6
Hamilton Telephone Company,hamilton telephone,21965662.0,2
"DentaQuest of Maryland, LLC",dentaquest of maryland,20987525.0,1
"DK Consulting, LLC",dk consulting,20633303.8,6
"Netsmart Technologies, Inc.",netsmart technologies,20230318.0,4
"Day 1 Solutions, LLC",day 1 solutions,20000000.0,1
KPMG LLP,kpmg,19810000.0,1
"CACI NSS, Inc. (formerly L-3 National Security Solutions, Inc.)",caci nss formerly l 3 national security solutions,19313518.0,3
"Magothy Technology, LLC",magothy technology,18703145.0,1
"Synergy Systems Services, Inc.",synergy systems services,18576220.0,1
"Performa Software USA, Inc.",performa software usa,18483864.0,4
Overland Contracting Inc,overland contracting,17333756.0,2
"Mythics, Inc.",mythics,16139373.05,13
GRPA,grpa,15575040.0,1
"PowerSchool, Inc.",powerschool,15405691.0,3
Conduent State Healthcare; LLC,conduent state healthcare,15235004.0,2
"Group Z, Inc.",group z,15234447.6,7
"Navitas Business Consulting, Inc.",navitas business consulting,14125370.6,24
MS Technologies Corporation,ms technologies,14052600.8,8
"Genfare, LLC",genfare,13901796.0,2
Microsoft Corporation,microsoft,13563379.0,5
"TierPoint, LLC",tierpoint,13308522.0,3
"Cubic Transportation Systems, Inc.",cubic transportation systems,12991871.0,5
Netorian LLC,netorian,12724089.0,4
"NextGen Healthcare, Inc.",nextgen healthcare,12119377.0,3
"TierPoint Maryland, LLC",tierpoint maryland,11669898.0,5
"LexisNexis Risk Solutions, Inc.",lexisnexis risk solutions,11208420.0,3
"CMD Investment Group, Inc.",cmd investment group,10817396.0,8
"G.R. Patel & Associates, Inc.",g r patel and associates,10506960.0,2
"Social & Scientific Systems, Inc.",social and scientific systems,10439493.0,2
"Journal Technologies, Inc.",journal technologies,10252703.0,5
"CA, Inc.",ca,10099756.0,2
"eMaint Enterprises, LLC",emaint enterprises,10000000.0,1
ESRI,environmental systems research institute,9955982.0,14
"Serigor, Inc.",serigor,9875856.5,7
"Thales DIS USA, Inc.",thales dis usa,9694448.0,2
"Cognosante Consulting, LLC",cognosante consulting,9452623.0,3
"Swiftly, Inc.",swiftly,9329851.0,4
"NTT Data, Inc.",ntt data,9180308.0,1
BI Incorporated,bi,9073112.0,3
"Koniag Services, Inc.",koniag services,9072279.7,5
"Mathtech, Inc.",mathtech,8919364.01,7
"DLT Solutions, LLC",dlt solutions,8918601.31,6
"Gemalto Cogent, Inc.",gemalto cogent,8742626.0,4
"Tetra Tech, Inc.",tetra tech,8671238.0,3
911 Security,911 security,8400000.0,1
Carbonado Technologies Inc.,carbonado technologies,8288957.0,3
"Business & Decision North America (PA), Inc.",business and decision north america,8267430.0,2
Applied Technology Services (ATS),applied technology services ats,8261052.0,7
AB Innovative (now Radiant Innovative),ab innovative now radiant innovative,8256754.0,1
"En-Net Services, LLC",en net services,8126905.06,17
"CenturyLink Communications, LLC d/b/a Lumen Technologies Group",centurylink communications d b a lumen technologies group,8000000.0,1
"Telecommunications Systems, Inc.",telecommunications systems,7944657.12,2
"Digital Information Services, LLC",digital information services,7875125.62,17
"Jonas Collections and Recovery, Inc.",jonas collections and recovery,7692006.0,1
"Axon Enterprises, Inc.",axon enterprises,7556429.0,2
"Collaborative Solutions, LLC (CSLLC), affiliate of Cognizant",collaborative solutions csllc affiliate of cognizant,7447624.0,1
"Gainwell Technologies, LLC",gainwell technologies,6978853.0,3
Datanetworks,datanetworks,6615000.0,1
LRWL Inc.,lrwl,6509143.0,2
"ePlus Technology, Inc.",eplus technology,6463015.97,6
"JobAps, Inc.",jobaps,6398714.0,5
"Ellucian Company, LP",ellucian,6371130.0,2
"CDW Government, LLC",cdw government,6344464.0,8
"HCGI Hartford, Inc.",hcgi hartford,6323660.37,10
"Voxai Solutions, Inc.",voxai solutions,6211507.0,1
International Business Machines Corporation,international business machines,5982329.0,2
"Computer Projects of Illinois, Inc",computer projects of illinois,5974644.0,8
"Bogdan Computer Services, Inc.",bogdan computer services,5930772.69,4
"Conduent Local and State Solutions, Inc.",conduent local and state solutions,5900000.0,1
"Blue Collar Objects, LLC",blue collar objects,5855727.0,7
"Recovery Point Systems, Inc.",recovery point systems,5801044.0,7
WGBH Educational Foundation,wgbh educational foundation,5761504.0,1
"Data Management Inc. (formerly Time Clocks Plus, Inc)",data management formerly time clocks plus,5750000.0,1
Contributor Development Partnership Member Service Bureau,contributor development partnership member service bureau,5709562.0,1
"Clever Devices, Ltd.",clever devices,5521066.0,3
"ICF Incorporated, LLC",icf,5511540.4,3
"DXC Technology Services, LLC",dxc technology services,5500000.0,1
CSG Government Solutions,csg government solutions,5471328.0,2
"Three Sigma Software, LLC",three sigma software,5232849.0,2
"Kapsch TrafficCom USA, Inc., formerly Transdyn, Inc.",kapsch trafficcom usa formerly transdyn,5182510.0,1
"Appriss, Inc.",appriss,5112355.0,6
"FEI Com, Inc.",fei com,4834827.0,2
Sona Networks LLC,sona networks,4771054.76,5
"The Clear Ballot Group, Inc.",clear ballot group,4754245.0,8
1.2A Gantech 1.2B Conduent,1 2a gantech 1 2b conduent,4750000.0,1
"System Source dba Logical Ventures, Inc.",system source dba logical ventures,4737378.0,1
"Hancock Software, Inc.",hancock software,4729264.0,5
"Geographic Solutions, Inc.",geographic solutions,4719473.0,7
"Health Risk Screening, Inc.",health risk screening,4708500.0,6
"Applied Technology Services, Inc. Sub-Items",applied technology services sub items,4681450.0,1
"Thomson Reuter (Manatron, Inc.)",thomson reuter manatron,4608564.0,2
"Emphasys Computer Solutions, Inc.",emphasys computer solutions,4540600.0,6
"Cornerstone OnDemand, Inc.",cornerstone ondemand,4530810.0,5
"Ernst & Young, LLP",ernst and young,4460000.0,3
"Catalyte, Inc.",catalyte,4435205.0,2
"DISYS Solutions, Inc.",disys solutions,4427425.0,7
"CenturyLink Communications, LLC",centurylink communications,4290000.0,3
"Brandt Information Services, LLC",brandt information services,4280000.0,1
"Advanced Analytical Systems, Inc.",advanced analytical systems,4275527.0,1
"Edmentum, Inc.",edmentum,4241781.0,1
DWI CW Professional Services LLC d/b/a Lochbridge,dwi cw professional services d b a lochbridge,4230532.8,1
AT&T System Inc.,at and t system,4200200.0,1
Compuware Corp.,compuware,4183134.0,4
DXC MS LLC,dxc ms,4159738.0,1
CAMIS USA Inc.,camis usa,4137000.0,4
"Momentum, Inc.",momentum,4129336.0,3
"CACI, Inc.",caci,4103967.0,1
"MVS, Inc.",mvs,4023437.85,7
"ADP, Inc.",adp,4012092.0,3
NextGen HealthCare Information Systems,nextgen healthcare information systems,3990000.0,1
"Amplify Education, Inc.",amplify education,3990000.0,1
"CACI NSS, Inc.",caci nss,3974017.0,1
"Periscope Holdings, Inc.",periscope,3942779.0,2
"RPI Consultants, LLC",rpi consultants,3902520.0,2
"Celerens, LLC",celerens,3893203.2,2
"Datamaxx Applied Technologies, Inc.",datamaxx applied technologies,3889031.0,4
"(A). Gantech, Inc.",a gantech,3888595.0,2
"Alliance Enterprises, Inc.",alliance enterprises,3767705.0,3
E-Builder,e builder,3726111.0,1
Lexis Nexis Risk Solutions,lexis nexis risk solutions,3692640.0,1
"Teltex, Inc.",teltex,3600000.0,1
"VitalChek Network, Inc. (Lexis/Nexis Company)",vitalchek network lexis nexis,3542992.0,1
Mobile Communications of America,mobile communications of america,3500000.0,1
"CR Software, a wholly-owned subsidiary of FICO",cr software a wholly owned subsidiary of fico,3481951.0,3
"KZN Consulting, Inc.",kzn consulting,3466746.0,2
"Dravida Consulting, LLC",dravida consulting,3389800.0,2
CR Software,cr software,3298290.0,2
"Dell Marketing, L.P.",dell marketing l p,3295911.47,3
"Vidsys, Inc.",vidsys,3295077.0,1
"Sirius Computer Solutions, Inc.",sirius computer solutions,3221078.04,3
Wabtec Railway Electronics,wabtec railway electronics,3218116.0,2
"Attain Consulting Group, LLC dba Attain Partners",attain consulting group dba attain partners,3143188.0,1
Global Shop Solutions,global shop solutions,3077750.0,2
Data Networks,data networks,3044487.0,4
"Custom Software Systems, Inc.",custom software systems,3007186.14,3
Entrust Datacard,entrust datacard,2894688.0,1
In Metrix,in metrix,2871972.0,1
"Creative Information Technology, Inc.",creative information,2822480.0,7
"Orijin, PBC",orijin pbc,2763822.0,4
"EcoSys Management, LLC",ecosys management,2761015.0,1
"Benchmark Solutions, LLC dba Benchmark Analytics",benchmark solutions dba benchmark analytics,2754988.0,1
"TimeClock Plus, LLC (formerly Data Management, Inc.)",timeclock plus formerly data management,2750000.0,1
Peraton State & Local Inc.,peraton state and local,2685800.0,1
"MAXIMUS Human Services, Inc.",maximus human services,2619514.4,6
Edwards Performance Solutions,edwards performance solutions,2576987.64,6
