contract_id,vendor,agency,original_approved_usd,total_approved_usd,growth_pct,n_changes
Q00B8400001,datamaxx applied technologies,PS,522596.0,2416074.0,362.32,0
F50B6400032,blue collar objects,DIT,728198.0,3143730.0,331.71,1
R00B2600056,serigor,EDUC,1157001.0,3903198.5,237.35,2
Q00B6400088,tecore networks,PS,520000.0,1492400.0,187.0,0
060B0600016,nic usa,DIT,9000000.0,20250000.0,125.0,4
M00B8400283,software technology group,HMH,409584.0,908544.0,121.82,0
J02B6400004,csc government solutions,DOT/SHA,27221970.0,56446462.0,107.36,1
F50B2600050,carahsoft technology,DIT,10000000.0,20000000.0,100.0,1
F50P1600059,environmental systems research institute,DIT,832877.0,1665754.0,100.0,0
F50P1600058,environmental systems research institute,DIT,241507.0,483014.0,100.0,0
E75B7400009,scientific games international,LOTT,217126653.0,410412708.0,89.02,2
060B5400007,applied technology services,DIT,442000.0,832975.0,88.46,0
F50B7400013,performa software usa,DBM,8496911.0,14452546.0,70.09,2
060B2490022,ats applied technology services,MDH,1542907.0,2286368.0,48.19,0
060B6400007,carahsoft technology,DIT,15000000.0,22000000.0,46.67,1
