contract_id,agency,vendor_clean,n_items,n_awards,n_changes,first_item_date,last_item_date,original_approved_usd,later_approved_usd,total_approved_usd,growth_usd,growth_pct,months_to_first_change,in_growth_analysis,exclusion_reason,multi_vendor
060B2490023,DIT,"Various Consulting, LLC F50B800014 Inc. R00B060024 Corporation of America R00B060023",14,1,13,2019-08-14,2026-01-28,13581071.0,510324489.6,523905560.6,510324489.6,3757.62,5,0,"item covers several vendors, so the money is not one contract's",1
001B5600235,DGS,".. Consulting, LLC Business Consulting, Inc. Professional Service dba LLC Corporation Inc. Consultants, Inc. Inc. Inc. Corporation - Services Division Systems Claims Solutions, Inc. Inc. Century Technologies, Information Solution, Inc. Inc. Point Global Technologies LLC Technology LLC Solutions LLC Software Alliant, Inc. Technologies, Inc. JV LLC Software LLC Infotech, Inc. IT Solutions Networks, LLC Hoc LLC Inc. Inc. Zion, LLC Technology, Inc. Services, Inc. Infotech, Inc.",1,1,0,2025-02-26,2025-02-26,445000000.0,0,445000000.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",1
E75B7400009,LOTT,scientific games international,3,1,2,2017-05-10,2024-12-18,217126653.0,193286055.0,410412708.0,193286055.0,89.02,74,1,,0
BPM044685,DIT,".. Century Inc. Business Consulting, Solutions, Inc. Incorporated, LLC Works One Communication",1,1,0,2025-08-27,2025-08-27,300000000.0,0,300000000.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",1
060B2490021,DIT,"-- Solutions Computer Inc. Software Solutions, Inc. Inc. Computing One River Enterprise LLC Pointe Technologies LLC Consulting, Inc. Systems Institute Hill Solutions Inc. API Inc. LLC Builders, Inc. Public Sector, Inc. c/o Esi Inc. Public Safety & Solutions, Inc. Inc. Inc. Consulting Group, Technologies, Inc. Information Systems USA, Inc. Computer Solutions, Inc. IT Technologies Computer Supply Inc. Inc. dba Frank Co. Resources, Inc. Scripta, LLC Inc.",2,1,1,2016-04-27,2026-02-18,71000000.0,200000000.0,271000000.0,200000000.0,281.69,118,0,"item covers several vendors, so the money is not one contract's",1
F50B6600017,DIT,amazon web services,1,1,0,2026-08-05,2026-08-05,241370000.0,0,241370000.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
COG06241,DIT,"-- LLC Technology, Inc. Group, Inc. Systems, Inc. Government Solutions Corporation Consulting, LLC Technical Solutions Technologies, LLC LLC LLC Information Tech, Inc. & Marsal Public Sector LLC Cabling LLC Systems, LLC Consulting Group Inc. Systems, LLC Technical Resources, LLC Technologies Inc. Inc. Inc. Corporation Inc. Communications Consulting Technology Solutions, Technologies, Inc. Consulting Services, Technical Services, Concepts, Inc. Services Network, Pixel Interactive LLC Services, Inc. Age Consulting Technologies Performance Solutions End Technical Solution Business Solutions, Systems Institute, Inc. (ESRI) LLC & Young, LLP Inc. LLC Geospatial, Inc. Software, Inc. Inc. Data Consultants, LLC Thornton, LLP Checkpoint, Inc. LLC LLC Builders, Inc. Resource Group, Inc. Corporation Corporation Inc. Engineering Solutions Inc. Data Labs, Inc. LLC Direct, LLC Corporation LLC Company Point Systems, LLC International, Inc. LLC Technologies Corporation Systems & Technologies, Taylor, Inc. Christopher Inc. Inc. International Inc. Inc. Highland Company Consulting Group, Inc. Office Products - dba Office Solutions Technology Solutions Inc. Corporation Systems Group, Inc. Technology Services LLC Technology, LLC Name JMH Technology) International Concepts, LLC Inc. Grace, LLC and Printing, Advisors Fusion, LLC Box Network Services Innovative Solutions Technologies, Computer Services, Federal Industries Government, LLC for the Support Engineering, Inc. LLC Impact Consulting, Inc. Technology Electronics Data Services, LLC Consulting, Technical Services, Value Partners Technology Solutions Inc. Technologies, Inc. LLC LLC Computing Incorporated Technologies, LLC Technology, Inc. Business Services Group LLC Networks, Inc. Inc. Enterprise Systems, Inc. Corp. Inc.",1,0,1,2017-01-25,2017-01-25,,240000000.0,240000000.0,,,,0,no original award inside the window - only later changes were captured,1
F50B6600005,DIT,motorola solutions,1,1,0,2025-11-19,2025-11-19,203486045.0,0,203486045.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
COJ56926,DGS,Various,1,0,1,2022-06-08,2022-06-08,,200000000.0,200000000.0,,,,0,no original award inside the window - only later changes were captured,1
001B5600254,DGS,shi international,1,1,0,2025-08-27,2025-08-27,166562500.0,0,166562500.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
COI41025,DGS,Various,1,0,1,2019-10-30,2019-10-30,,135000000.0,135000000.0,,,,0,no original award inside the window - only later changes were captured,1
E00B8400029,COMP,revenue solutions,1,1,0,2018-12-19,2018-12-19,117430895.0,0,117430895.0,0.0,0.0,,1,,0
COG75325,DIT,"-- Marketing, Inc./A&T Computer Corporation Network Group, Inc. (ANC) Inc. Computer Services, Technology LLC Inc. Electronics, Technologies Systems Support, Technologies, Corporation Data Solutions, Services Consulting, Inc. Public Sector, Inc. Inc. Signals, Inc. International, Inc. Technology Technologies Corporation of America for Future, Inc. Technologies & Inc. Office Solutions Communications Integration Information Technology Inc. Enterprises, Inc. Technology (VTC) Sound/Kunz AV",1,1,0,2016-06-22,2016-06-22,100000000.0,0,100000000.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
060B7400088,DIT,"-- Corporation Systems, Inc. Networks Advisors Communications, Inc. Consulting, LLC Inc. dba CL Electronics, Inc. Inc. Communications, Ltd. Direct, LLC Networks Communications Inc. Solutions of a Lifetime LLC dba Car Supply Corporation LLC Solutions Public Safety, LLC Inc. Technologies Radio Service, Inc. t/a Communications Communications Inc.",1,1,0,2017-12-20,2017-12-20,100000000.0,0,100000000.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
COK34349,DIT,Various,1,0,1,2024-01-31,2024-01-31,,100000000.0,100000000.0,,,,0,no original award inside the window - only later changes were captured,1
F50B2600044,DIT,strategic communications,1,1,0,2022-05-11,2022-05-11,98000000.0,0,98000000.0,0.0,0.0,,1,,0
COJ53285,MDL,accenture,1,0,1,2022-06-08,2022-06-08,,97759100.0,97759100.0,,,,0,no original award inside the window - only later changes were captured,0
D38B5600001,ELECTLAW,elections systems and software,1,1,0,2026-07-22,2026-07-22,84909901.0,0,84909901.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
COL21530,DGS,Various,1,0,1,2025-11-19,2025-11-19,,80000000.0,80000000.0,,,,0,no original award inside the window - only later changes were captured,1
W00B6600027,MSP,colossus d b a interact public safety systems,1,1,0,2025-11-19,2025-11-19,77793533.0,0,77793533.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F50B2600045,DIT,1 1 skyline technology solutions,1,0,1,2023-06-07,2023-06-07,,77625000.0,77625000.0,,,,0,no original award inside the window - only later changes were captured,1
COK32667,DIT,digital management,1,0,1,2024-01-31,2024-01-31,,70000000.0,70000000.0,,,,0,no original award inside the window - only later changes were captured,0
COK36585,DIT,strategic communications,1,0,1,2025-01-08,2025-01-08,,70000000.0,70000000.0,,,,0,no original award inside the window - only later changes were captured,0
COI10979,DOHR,.. Award List Below:,1,0,1,2021-04-07,2021-04-07,,68779600.0,68779600.0,,,,0,no original award inside the window - only later changes were captured,1
J04B400015,DOT/MVA,fast enterprises,1,1,0,2018-04-04,2018-04-04,66864484.0,0,66864484.0,0.0,0.0,,1,,0
J05B2600003,DOT/MTA,scheidt and bachmann usa,1,1,0,2021-10-06,2021-10-06,63640693.0,0,63640693.0,0.0,0.0,,1,,0
COJ56504,DOT/MdTA,transcore,1,0,1,2022-07-27,2022-07-27,,63106811.0,63106811.0,,,,0,no original award inside the window - only later changes were captured,0
COG89924,DIT,"-- Consulting Century Technologies Computer Solutions Systems, Inc. Consulting, LLC Information Inc. & Associates, LLC Solutions, Inc. (ASI) LLC Digital Systems Vision Systems, Industries Inc. Information Corporation Technical Solutions, LLC LLC International, Inc. Ventures Geographics, Inc. Technology (ATS) Wireless LAN, Inc. Global Holdings, dba Solutions Incorporated Corporation Advanced Software Infosys Inc. Corp. & Associates, Inc. Inquiry Schell Enterprises, Geospatial, LLC LLC Consulting, Inc. Cobb Associates Enterprises, Inc. dba Works Technologies, Dunn, McNeil Technologies, Collar Objects, Solutions, Solutions, Grant Inc. Inc. Communications, Consulting, Computing Inc. Management Inc. Solutions Inc. Inc. Inc. Severn HILL, Inc. LLC Inc. Group, Inc. Devices, LTD Network Services, LLP Services, Inc. LLC Camp, Inc. Aid, Inc. (CAI) Consultants Inc. (CCI) Technology Management Government Solutions Technology & Energy Telecommunications Consulting Software Systems Consulting, Inc. Computers, Inc. Group, Inc. Networks, Inc. LLC Technologies, Inc. Inc. Systems, Inc. Corporation Corporation Solutions, Inc. Consulting, LLC Processing Solutions, DP Solutions, Inc. Consulting, LLC Federal, Inc. Consulting, LLC Synergies, Inc. Research Corp. Corporation Engineering Consulting, Inc. Systems (ESI) Tech Group, Inc. & Consulting, Inc. Inc. Inc. Technology, Inc. Elite Services, Inc. Inc. Corporation Inc. Enterprise Wide Inc. Facts, LLC Partners, Inc. Corporation Systems, LLC Data Systems, Inc. Engineering Inc. Consulting, LLC Federal Corporation Point Systems, Inc. Technologies, LLC Circle Solutions, Inc. Solutions, LLC Technology, LLC Laboratories Int'l Technologies, Inc. Nest LLC Consulting Inc. Z, Inc. Patel & Associates, Inc. Corp. Hartford Enterprise Services, LLC LLC International Systems, Inc. Inc. Technologies, Inc. Inc. Management Inc. (IMC) Services, LLC Global, LLC Data Solutions Technology Consulting Corporation Projects Svs (IPCS) Software Information Inc. (Interra IT) Consulting Inc. Tech, Inc. Data Solutions, Inc. Total Solutions Net, Inc. Communications, LLC Management & Inc. Associates, Inc. Consulting & LLC Mirmiran & Inc. dba JMT Group Networking Group Technologies Inc. Development Companies, LLC Technology Solutions LLC Advantage Inc. Services, Inc. Consulting, Inc. LLP Tech Solutions Robert Kimball & National Security Inc. (L-3 STRATIS) Systems, Inc. of Sight LLC Dimples II Consulting, Inc. Technology Satyam Information Enterprises, Inc. Corporation & Associates Inc. Technologies, Inc. Communications, Inc. Business Network Technologies, LLC Consultants, Inc. Baker Jr., Inc. Records Company Enterprises) LLC Inc. Inc. Technologies Inc. Technologies Inc. Inc. Inc. Technologies, Inc. Inc. Management Technologies, Inc. LLC Light Technologies Consulting, Inc. Technologies, Inc. Solutions, Inc. Corporation Distribution dba Technologies Solutions and Inc. (OST) Solutions, Inc. Technology Consulting Consulting LLC (i4DM) Aerial Survey's Inc. Science Technologies Installations Group, Plexus Communications Human Services, Studies) task Group, Inc. Networked Team, LLC Personnel Group, Pax Inc. & Associates, Inc. Technology, Inc. Rea Corp. Resource Solutions Inc. P.C. Consulting Consultants, Inc. D. McQueen & Computing, Inc. Consulting Klepper & Kahl, Communications Inc. Inc. International Group Technology Partners, Computer Solutions Solutions Group, LLC Network LLC dba Skyline Solutions Inc. Enterprises, Inc. International Productivity Inc. Consortium, Inc. Engineering (SES) Performance Inc. 3, LLC Networks, LLC Systems Associates, Net, Inc. Solutions Inc. Solutions Software Business Solutions Tech Consulting, Inc. Inc. Technologies Corp. Systems & Services Inc. Automation Alliance, Inc. Conglomerate, Inc. Consulting, Inc. Inc. LLC Specialties, Inc. Business Solutions, Communications, Inc. Inc. Consultants (TCC Software First Choice, LLC dba Canton Group Index Group, Inc. Innovation Network IQ Business Group, Inc. Kerr Company NERDS Group Test Control Company, Sigma Software, Inc. Technologies Group Resource Inc. Business Inc. Systems Group Technical Services, Technology Corp. Corporation Inc. Solutions, LLC Adaptive Services (UACS) USmax Corporation Group, Inc. Associates, LLC Inc. Inc. LLC Solutions, LLC Solutions, Inc. Link, LLC Integration LLC (VIP) Management LLC (V-PMC) Solution, Inc. Bail, Cox & LLC (WBCM) Traits, Inc. Inc. Consulting Inc. LLC Solutions & Associates, LLC State & Local (formerly ACS) Consulting Group",1,0,1,2016-08-17,2016-08-17,,60000000.0,60000000.0,,,,0,no original award inside the window - only later changes were captured,1
COH56290,DIT,Various,1,0,1,2018-04-18,2018-04-18,,60000000.0,60000000.0,,,,0,no original award inside the window - only later changes were captured,1
COI41018,DGS,Various,1,0,1,2019-10-30,2019-10-30,,58000000.0,58000000.0,,,,0,no original award inside the window - only later changes were captured,1
J02B6400004,DOT/SHA,csc government solutions,2,1,1,2016-05-11,2021-04-21,27221970.0,29224492.0,56446462.0,29224492.0,107.36,59,1,,0
F50B4400105,DIT,triad technology partners,2,0,2,2017-12-20,2026-04-01,,53306597.0,53306597.0,,,,0,no original award inside the window - only later changes were captured,0
060B2490024,DIT,shi international,4,0,4,2016-04-27,2019-01-02,,51000000.0,51000000.0,,,,0,no original award inside the window - only later changes were captured,0
060B7400081,DIT,deloitte consulting services,1,1,0,2017-04-26,2017-04-26,50000000.0,0,50000000.0,0.0,0.0,,1,,0
