meeting_date,agenda,doc_number,item_type,agency,county,vendor_raw,vendor_clean,vendor_display,description,amount_usd,amount_basis,term_start,term_end,action,discussion,references_doc,contract_id,multi_vendor,parent_item,action_note,source_pdf,source_page
2016-01-06,Secretary,18,award,MORG,Baltimore,"Magothy Technology, LLC",magothy technology,"Magothy Technology, LLC","Information Technology - Next Generation Network Upgrade; hardware, software, maintenance, and services. Term: See Item. Principal Amount: $18,703,145.",18703145.0,fixed,,,Approved,No,,,0,,,2016-Jan-6-Summary.pdf,6
2016-01-06,Department of Information Technology,3-IT,award,ELECTLAW,Statewide,"Elections Systems and Software, LLC",elections systems and software,"Elections Systems and Software, LLC","Information Technology - 150 electronic poll books (tablet devices w/printers and battery back-up). Term: 1/6/16- 2/28/16. Amount: $178,050.",178050.0,fixed,2016-01-06,2016-02-28,Approved,No,,D38B6400004,0,,,2016-Jan-6-Summary.pdf,15
2016-01-06,Department of Information Technology,4-IT-MOD,modification,PS,Statewide,Business and Decision,business and decision,Business and Decision,Information Technology Modification - Offender Case Management System - Add time and material hours for OCMS customization personnel component. Term: 1/6/16- 11/30/18. Amount: $0.,0.0,fixed,2016-01-06,2018-11-30,Approved,No,,Q00B4400101,0,,,2016-Jan-6-Summary.pdf,15
2016-01-27,Department of Information Technology,1-IT,award,MPT,Statewide,Digital Video Group,digital video group,Digital Video Group,"Information Technology - Digital post production editing upgrade package. Term: 2/1/16- 5/30/16. Amount: $355,718.",355718.0,fixed,2016-02-01,2016-05-30,Approved,No,,R15P6400118,0,,,2016-Jan-27-Summary.pdf,17
2016-01-27,Department of Information Technology,2-IT,award,DIT,Statewide,"Day 1 Solutions, LLC",day 1 solutions,"Day 1 Solutions, LLC","Information Technology - Intergovernmental Cooperation Purchase - Public cloud hosting and disaster recovery services. Term: 1/28/16- 7/31/17. Amount: $20,000,000.",20000000.0,fixed,2016-01-28,2017-07-31,Approved,yes,,060B6400011,0,,,2016-Jan-27-Summary.pdf,17
2016-01-27,Department of Information Technology,3-IT,award,DIT,Statewide,Carahsoft Technology Corporation,carahsoft technology,Carahsoft Technology Corporation,"Information Technology - Salesforce.com software-as-a- service products for participating State agencies. Term: 3/1/16- 2/28/19 (w/2 one year renewal options). Amount: $15,000,000.",15000000.0,fixed,2016-03-01,2019-02-28,Approved,No,,060B6400007,0,,,2016-Jan-27-Summary.pdf,17
2016-02-10,Department of Information Technology,1-IT,award,PS,N/A,IBM Corporation,ibm,IBM Corporation,"Information Technology - Public Safety Data Center - Mainframe software license and renewal fee. Term: 3/1/16- 2/28/17. Amount: $587,876.",587876.0,fixed,2016-03-01,2017-02-28,Approved,No,,Q00B6400029,0,,,2016-Feb-10-Summary.pdf,14
2016-02-24,Department of Information Technology,1-IT,award,HMH/DDA,Statewide,American Association on Intellectual and Developmental Disabilities,american association on intellectual and developmental disabilities,American Association on Intellectual and Developmental Disabilities,"Information Technology - Maryland Medicaid's Balancing Initiative Program - Support Intensity Scale online assessment evaluation tool. Term: 3/1/16- 2/28/18 (w/3 one- year renewal options). Amount: $163,027.",163027.0,fixed,2016-03-01,2018-02-28,Approved,No,,M00B6400462,0,,,2016-Feb-24-Summary.pdf,12
2016-02-24,Department of Information Technology,3-IT-MOD,modification,DIT,Statewide,"Security Mentor, Inc.",security mentor,"Security Mentor, Inc.","Information Technology Modification - Extend term for Cyber Security Training subscription. Term: 3/1/16- 2/28/17. Amount: $202,548.",202548.0,fixed,2016-03-01,2017-02-28,Approved,yes,,COG59097,0,,Motion to Defer: Approved 2-to-1; Treasurer votes no.,2016-Feb-24-Summary.pdf,12
2016-03-09,Department of Information Technology,1-IT,award,COMP,Statewide,"Pitney Bowes Software, Inc.",pitney bowes software,"Pitney Bowes Software, Inc.","Information Technology - Annapolis Data Center - Master Tax System (SMART) - Address verification software license, maintenance and support. Term: 3/25/16 - 3/21/21. Amount: $728,610.",728610.0,fixed,2016-03-25,2021-03-21,Approved,No,,E00B6400072,0,,,2016-Mar-9-Summary.pdf,12
2016-03-09,Department of Information Technology,2-IT,award,PS,Baltimore City,Tecore Networks,tecore networks,Tecore Networks,"InformationTechnology - Metropolitian Transition Center and Baltimore City Detention Center - Cell phone managed access support and maintenance. Term: 5/1/16- 4/30/17. Amount: $520,000.",520000.0,fixed,2016-05-01,2017-04-30,Approved,No,,Q00B6400088,0,,,2016-Mar-9-Summary.pdf,12
2016-03-09,Department of Information Technology,3-IT,award,EDUC,Statewide,Prosys Information Systems,prosys information systems,Prosys Information Systems,"Information Technology - Cisco WebEx Enterprise Edition Software - Web conferencing with integrated audio conferencing for agency-wide use. Term: 3/24/16- 3/23/19. Amount: $207,486.",207486.0,fixed,2016-03-24,2019-03-23,Approved,No,,R00B6400080,0,,,2016-Mar-9-Summary.pdf,12
2016-03-09,Department of Information Technology,4-IT-MOD,modification,DIT,Statewide,"Navigator Management Partners, LLC",navigator management partners,"Navigator Management Partners, LLC","Information Technology Modification - State Personnel Systems Project - Extend term; subject matter expert. Term: 4/1/16- 6/30/17. Amount: $493,600.",493600.0,fixed,2016-04-01,2017-06-30,Approved,No,,COG61203,0,,,2016-Mar-9-Summary.pdf,13
2016-03-09,Department of Information Technology,5-IT-MOD,modification,DIT,Statewide,"AP Ventures, LLC",ap ventures,"AP Ventures, LLC","Information Technology Modification - State Personnel Systems Project - Extend term; technical and systems lead. Term: 4/1/16- 6/30/17. Amount: $482,460.",482460.0,fixed,2016-04-01,2017-06-30,Approved,No,,COG61201,0,,,2016-Mar-9-Summary.pdf,13
2016-03-09,Department of Information Technology,6-IT-MOD,modification,DIT,Statewide,"SK Net, LLC",sk net,"SK Net, LLC","Information Technology Modification - State Personnel Systems Project - Extend term; senior information systems architect. Term: 4/1/16- 6/30/17. Amount: $516,120.",516120.0,fixed,2016-04-01,2017-06-30,Approved,No,,F50B4400050,0,,,2016-Mar-9-Summary.pdf,13
2016-03-09,Department of Information Technology,7-IT-OPT,renewal,DIT,Statewide,"Esri, Inc.",environmental systems research institute,ESRI,"Information Technology Renewal Option - Esri Enterprise Software - Exercise option; product support for geographic information system (GIS) software for 55 State agencies. Term: 4/1/16- 6/30/16. Amount: $208,063.",208063.0,fixed,2016-04-01,2016-06-30,Approved,yes,,060B6400016,0,,,2016-Mar-9-Summary.pdf,13
2016-03-23,Department of Information Technology,2-IT-MOD,modification,DOT/MVA,Statewide,"United Solutions, LLC",united solutions,"United Solutions, LLC",Information Technology Modification - RETROACTIVE - Add support for legacy system issues and implementation projects. Term: 10/1/13- 3/31/16. Amount: $0.,0.0,fixed,2013-10-01,2016-03-31,Approved,No,,J00B2400020,0,,,2016-Mar-23-Summary.pdf,12
2016-03-23,Department of Information Technology,3-IT-MOD,modification,ELECTLAW,Montgomery,PCC Technology Inc.,pcc technology,PCC Technology Inc.,"Information Technology Modification - Montgomery County public financing program for the County Executive and County Council offices in the 2018 election. Term: 4/5/16- 11/18/16. Amount: $157,700.",157700.0,fixed,2016-04-05,2016-11-18,Approved,No,,COG59986,0,,,2016-Mar-23-Summary.pdf,13
2016-03-23,Department of Information Technology,4-IT-MOD,modification,DIT,Statewide,"-- Systems, Inc. Technologies, Inc. Technology Group, Telesis, Inc. Technology Inc. (ATS) Technology Group Technologies, Inc. Associates, Inc. Technologies Corporation Industries Severn, Inc. Government, Inc. BTS Computers, Inc. Networks of America, Processing Solutions Marketing, L.P. Corporation Data, Inc. Solutions Inc. Systems, Inc. Systems, Inc. (ESI) LLC (Emergent) Technology, Inc. Inc. Parsons Co. (TSRC, Frank Parsons Co.) Network Inc. Corp. Harford, Inc. Company Solutions Net, Inc. Total Solutions Technology Solutions, Information Inc. Information Inc. Essentials, LLC Inc. Inc. Imaging Systems Technologies, Inc. P. Pipino Assoc., Inc. North America Technology Office Solution Installations, Inc. IT Solutions Sales Inc. Networked Information Systems Computer Services, Office Technologies Americas Corporation Inc. Electronics Corp. International Computer Solutions, Technology Solutions Consulting Information Corp. (SIRC) Productivity Inc. Technology Solutions Computer Supply Alliance, Inc. Canton Group, LLC Adaptive Services, Inc. (UACS) Global Solutions, Inc. Corporation Corporation Info Systems",,"-- Systems, Inc. Technologies, Inc. Technology Group, Telesis, Inc. Technology Inc. (ATS) Technology Group Technologies, Inc. Associates, Inc. Technologies Corporation Industries Severn, Inc. Government, Inc. BTS Computers, Inc. Networks of America, Processing Solutions Marketing, L.P. Corporation Data, Inc. Solutions Inc. Systems, Inc. Systems, Inc. (ESI) LLC (Emergent) Technology, Inc. Inc. Parsons Co. (TSRC, Frank Parsons Co.) Network Inc. Corp. Harford, Inc. Company Solutions Net, Inc. Total Solutions Technology Solutions, Information Inc. Information Inc. Essentials, LLC Inc. Inc. Imaging Systems Technologies, Inc. P. Pipino Assoc., Inc. North America Technology Office Solution Installations, Inc. IT Solutions Sales Inc. Networked Information Systems Computer Services, Office Technologies Americas Corporation Inc. Electronics Corp. International Computer Solutions, Technology Solutions Consulting Information Corp. (SIRC) Productivity Inc. Technology Solutions Computer Supply Alliance, Inc. Canton Group, LLC Adaptive Services, Inc. (UACS) Global Solutions, Inc. Corporation Corporation Info Systems","Information Technology Modification - Add funds; indefinite quantity purchase order request for proposals-based master contract providing hardware, installation, training services and manufacturer's extended warranty (excludes laptops and desktops). Term: 3/24/16- 6/30/16. Amount: $12,000,000.",12000000.0,fixed,2016-03-24,2016-06-30,Approved,No,,COG64150,1,,,2016-Mar-23-Summary.pdf,13
2016-03-23,Department of Information Technology,5-IT-MOD,modification,DNR,Statewide,"Active Network, LLC",active network,"Active Network, LLC","Information Technology Modification - State Park Reservation System - Extend term to complete new procurement; revenue producing contract to manage online reservation system. Term: 4/1/16- 3/31/17. Amount: $600,000.",600000.0,fixed,2016-04-01,2017-03-31,Approved,No,,K00B0400091,0,,,2016-Mar-23-Summary.pdf,16
2016-03-23,Appendix - Emergency,A4,award,MIA,N/A,"CrownPeak Technology, Inc.",crownpeak technology,"CrownPeak Technology, Inc.","Information Technology - Website disaster recovery and content management services. Emergency declared: 12/12/14. Term: 1/1/15- 12/31/15. Amount: $90,000.",90000.0,fixed,2015-01-01,2015-12-31,Approved,No,,D80P5400085,0,,,2016-Mar-23-Summary.pdf,4
2016-04-06,Department of Information Technology,1-IT,award,DIT,Statewide,"Equinix, LLC",equinix,"Equinix, LLC","Information Technology - Network Maryland - Data Center colocation and peering fabric. Term: 6/1/16- 5/31/18. Amount: $133,178.",133178.0,fixed,2016-06-01,2018-05-31,Approved,yes,,F50B6400022,0,,,2016-Apr-6-Summary.pdf,9
2016-04-06,Department of Information Technology,2-IT,award,EDUC,Statewide,"MicroScribe Publishing, LLC",microscribe publishing,"MicroScribe Publishing, LLC","Information Technology - Division of Special Education/Early Intervention Services - Web-based reference library. Term: 5/1/16- 4/30/17 (w/2 one-year renewal options). Amount: $43,000.",43000.0,fixed,2016-05-01,2017-04-30,Approved,No,,R00B6400007,0,,,2016-Apr-6-Summary.pdf,9
2016-04-06,Department of Information Technology,3-IT,award,DJS,Statewide,"Sentinel Offender Services, LLC",sentinel offender services,"Sentinel Offender Services, LLC","Information Technology - Community Detention Program - Electronic and voice recognition monitoring for court ordered youth participants. Term: 5/7/16- 5/5/21. Amount: $1,856,938.",1856938.0,fixed,2016-05-07,2021-05-05,Approved,yes,,V00B6400109,0,,,2016-Apr-6-Summary.pdf,9
2016-04-27,Department of Information Technology,1-IT,award,HMH,N/A,"Health Care Incentives Improvement Institute, Inc.",health care incentives improvement institute,"Health Care Incentives Improvement Institute, Inc.","Information Technology - Maryland Health Care Commission - Consulting services for evidence-informed case rates analytics. Term: 5/1/16- 4/30/17. Amount: $146,518.",146518.0,fixed,2016-05-01,2017-04-30,Approved,No,,M00B6400564,0,,,2016-Apr-27-Summary.pdf,12
2016-04-27,Department of Information Technology,2-IT,award,HMH,Statewide,"Social & Scientific Systems, Inc.",social and scientific systems,"Social & Scientific Systems, Inc.","Information Technology - Maryland Health Care Commission - Professional services to sustain and expand the State's All-Payer Claims Database. Term: 5/1/16- 4/30/21. Amount: $8,975,088 (revised at Board meeting).",8975088.0,fixed,2016-05-01,2021-04-30,approved with revisions,yes,,M00B6400536,0,,Revised at Board meeting. revisions,2016-Apr-27-Summary.pdf,13
2016-04-27,Department of Information Technology,3-IT,award,DIT,Statewide,"-- Solutions Computer Inc. Software Solutions, Inc. Inc. Computing One River Enterprise LLC Pointe Technologies LLC Consulting, Inc. Systems Institute Hill Solutions Inc. API Inc. LLC Builders, Inc. Public Sector, Inc. c/o Esi Inc. Public Safety & Solutions, Inc. Inc. Inc. Consulting Group, Technologies, Inc. Information Systems USA, Inc. Computer Solutions, Inc. IT Technologies Computer Supply Inc. Inc. dba Frank Co. Resources, Inc. Scripta, LLC Inc.",,"-- Solutions Computer Inc. Software Solutions, Inc. Inc. Computing One River Enterprise LLC Pointe Technologies LLC Consulting, Inc. Systems Institute Hill Solutions Inc. API Inc. LLC Builders, Inc. Public Sector, Inc. c/o Esi Inc. Public Safety & Solutions, Inc. Inc. Inc. Consulting Group, Technologies, Inc. Information Systems USA, Inc. Computer Solutions, Inc. IT Technologies Computer Supply Inc. Inc. dba Frank Co. Resources, Inc. Scripta, LLC Inc.","Information Technology - Award 36 indefinite quantity purchase order request for proposals-based master contracts to provide commercial off-the-shelf software, training, and maintenance. Term: 4/6/16- 9/30/27. Amount: $71,000,000.",71000000.0,fixed,2016-04-06,2027-09-30,Approved,yes,,060B2490021,1,,Approved 2-to-1; Comptroller voted No.,2016-Apr-27-Summary.pdf,13
2016-04-27,Department of Information Technology,4-IT-MOD,modification,DIT,Statewide,"GovDelivery, Inc.",govdelivery,"GovDelivery, Inc.","Information Technology Modification - Add funds and extend term; digital communication management services. Term: 5/16/16- 5/15/17. Amount: $136,500.",136500.0,fixed,2016-05-16,2017-05-15,Approved,yes,,F50B4400086,0,,,2016-Apr-27-Summary.pdf,15
2016-04-27,Department of Information Technology,5-IT-MOD,modification,DIT,Statewide,SHI International Corp.,shi international,SHI International Corp.,"Information Technology Modification - Add funds; Microsoft Select Plus and Enterprise software. Term: 4/28/16- 10/31/17. Amount: $8,000,000.",8000000.0,fixed,2016-04-28,2017-10-31,Approved,yes,,060B2490024,0,,,2016-Apr-27-Summary.pdf,15
2016-04-27,Department of Information Technology,7-IT-MOD,modification,DOT/MTA,Statewide,Wabtec Railway Electronics,wabtec railway electronics,Wabtec Railway Electronics,"Information Technology Modification - MARC Train Positive Train Control Interoperable Electronic Train Management System - Upgrade the 9-Aspect cab signal system on 26 locomotives; add video event recording system. Term: 1/8/17- 1/22/17. Amount: $2,138,700.",2138700.0,fixed,2017-01-08,2017-01-22,Approved,No,,J05B4400019,0,,,2016-Apr-27-Summary.pdf,15
2016-05-11,Department of Transportation,13-IT,award,DOT/MAA,Anne Arundel,"Knot Technology Solutions, LLC",knot technology solutions,"Knot Technology Solutions, LLC","Information Technology - BWI Thurgood Marshall Airport - Software support and maintenance for PASSUR OPSNET. Term: 6/9/16- 6/8/19. Amount: $458,951.",458951.0,fixed,2016-06-09,2019-06-08,Approved,No,,MAP6603187,0,,,2016-May-11-Summary.pdf,20
2016-05-11,Department of Information Technology,2-IT,award,DOT/MTA,Statewide,"Alstom Transportation, Inc.",alstom transportation,"Alstom Transportation, Inc.","Information Technology - Install new hardware and software to the Metro railcar maintenance bench test equipment. Term: 5/25/16- 8/24/16. Amount: $103,222.",103222.0,fixed,2016-05-25,2016-08-24,Approved,No,,J05B6400018,0,,,2016-May-11-Summary.pdf,15
2016-05-11,Department of Information Technology,3-IT,award,DOT/MVA,Statewide,R.L. Polk & Company,r l polk and,R.L. Polk & Company,"Information Technology - Provide VIN verification software. Term: 6/1/16- 5/31/21. Amount: $267,050.",267050.0,fixed,2016-06-01,2021-05-31,Approved,No,,J00B6400015,0,,,2016-May-11-Summary.pdf,15
2016-05-11,Department of Information Technology,4-IT,award,DOT/SHA,Statewide,"CSC Government Solutions, LLC",csc government solutions,"CSC Government Solutions, LLC","Information Technology - Coordinated Highways Action Response Team (CHART) - Provide technical and business support to manage the Traffic Management and Emergency Operations Systems . Term: 6/1/16- 5/31/21 (w/1 five-year renewal option). Amount: $27,221,970.",27221970.0,fixed,2016-06-01,2021-05-31,Approved,No,,J02B6400004,0,,,2016-May-11-Summary.pdf,15
2016-05-11,Department of Information Technology,5-IT-MOD,modification,DLLR,Statewide,"Geographical Solutions, Inc.",geographic solutions,"Geographic Solutions, Inc.","Information Technology Modification - Maryland Workforce Exchange System - Add custom conversion and integration for 2015 Federal requirements. Term: 5/11/16- 12/31/18. Amount: $151,825.",151825.0,fixed,2016-05-11,2018-12-31,Approved,No,,COG61695,0,,,2016-May-11-Summary.pdf,16
2016-05-11,Department of Information Technology,6-IT-MOD,modification,DIT,Statewide,"Colossus, Inc., d/b/a InterAct Public Safety Systems",colossus d b a interact public safety systems,"Colossus, Inc., d/b/a InterAct Public Safety Systems","Information Technology Modification - RETROACTIVE - Add funds for software maintenance costs and additional licenses; commercial off-the-shelf computer-aided dispatch, records management, automated vehicle location, and automated field reporting system. Term: 12/1/15- 11/30/17. Amount: $1,329,298.",1329298.0,fixed,2015-12-01,2017-11-30,Approved,No,,COG69479,0,,,2016-May-11-Summary.pdf,16
2016-05-11,Department of Information Technology,7-IT-MOD,modification,DIT,Statewide,"MCI Communications Services, Inc. d/b/a Verizon Business Services",mci communications services d b a verizon business services,"MCI Communications Services, Inc. d/b/a Verizon Business Services",Information Technology Modification - Toll Free Services - Extend term to allow time for new procurement and transition. Term: 7/1/16- 12/31/16. Amount: $0.,0.0,fixed,2016-07-01,2016-12-31,Approved,No,,COG19586,0,,,2016-May-11-Summary.pdf,16
2016-05-25,Department of Information Technology,1-IT,award,COMP,Anne Arundel,IBM Corporation,ibm,IBM Corporation,"Information Technology - Annapolis Data Center - Software maintenance and support services. Term: 7/1/16- 6/30/17. Amount: $2,347,955.",2347955.0,fixed,2016-07-01,2017-06-30,Approved,No,,E00B6400084,0,,,2016-May-25-Summary.pdf,13
2016-05-25,Department of Information Technology,2-IT,award,COMP,Anne Arundel,"SAS Institute, Inc.",sas institute,"SAS Institute, Inc.","Information Technology - Annapolis Data Center - Software maintenance and support services. Term: 7/1/16- 6/30/17 (w/1 one-year renewal option). Amount: $181,896.",181896.0,fixed,2016-07-01,2017-06-30,Approved,No,,E00B7400001,0,,,2016-May-25-Summary.pdf,13
2016-05-25,Department of Information Technology,3-IT,award,DOT,Anne Arundel,IBM Corporation,ibm,IBM Corporation,"Information Technology - Glen Burnie Data Center - Software maintenance and support services. Term: 7/1/16- 6/30/17. Amount: $2,100,097.",2100097.0,fixed,2016-07-01,2017-06-30,Approved,No,,J01B6400039,0,,,2016-May-25-Summary.pdf,14
2016-05-25,Department of Information Technology,4-IT,award,DOT,N/A,IBM Corporation,ibm,IBM Corporation,"Information Technology - Maximo software maintenance and support services for the MDOT enterprise asset management system. Term: 7/1/16- 6/30/21. Amount: $6,023,029.",6023029.0,fixed,2016-07-01,2021-06-30,Approved,No,,J01B6400040,0,,,2016-May-25-Summary.pdf,14
