meeting_date,agenda,doc_number,item_type,agency,county,vendor_raw,vendor_clean,vendor_display,description,amount_usd,amount_basis,term_start,term_end,action,discussion,references_doc,contract_id,multi_vendor,parent_item,action_note,source_pdf,source_page,drop_reason
2016-04-27,Department of Information Technology,6-IT-MOD,modification,PS,Statewide,Global Tel*Link (GTL),,,Information Technology Modification - RETROACTIVE - Inmate payphone services; reduce rates and eliminate fees. Term: 3/17/16- 12/31/17. Amount: See Item.,,,2016-03-17,2017-12-31,Approved,No,,Q00B6400058,0,,,2016-Apr-27-Summary.pdf,15,no dollar figure on the item
2016-04-06,Department of Information Technology,4-IT,award,DIT,Statewide,Various,,,"Information Technology - Award 37 indefinite quantity purchase order request for proposals-based master contracts; commercial off the shelf software, installation, training services and maintenance. Term: 3/23/16- 7/23/27. Amount: $71,000,000.",71000000.0,fixed,2016-03-23,2027-07-23,withdrawn,No,,060B2490021,0,,,2016-Apr-6-Summary.pdf,10,"Board action was 'withdrawn', not approved"
2016-04-06,Department of Information Technology,5-IT-MOD,modification,PS,Statewide,Global Tel*Link (GTL),,,"Information Technology Modification - RETROACTIVE - Reduce rates, modify fees mandated by FCC ruling 15-136; inmate payphone services. Term: 3/17/16- 12/31/17. Estimated Revenue Amount: $866.500.",866.0,revenue-to-state,2016-03-17,2017-12-31,withdrawn,No,,Q00B6400058,0,,,2016-Apr-6-Summary.pdf,10,"Board action was 'withdrawn', not approved"
2016-08-17,Department of Information Technology,9-IT-MOD,modification,DOT/MTA,Statewide,"Cubic Transportation Systems, Inc.",,,"Information Technology Contract Modification - Automatic Fare Collection System - Professional services to preform system upgrade and migration. Term: 8/18/16- 6/17/20. Amount: $4,881,244.",4881244.0,fixed,2016-08-18,2020-06-17,withdrawn,No,,COG87665,0,,,2016-Aug-17-Summary.pdf,29,"Board action was 'withdrawn', not approved"
2016-12-07,Department of Information Technology,6-IT-MOD,modification,DIT,Statewide,"Motorola, Inc.",,,Information Technology Modification - Statewide Public Safety Wireless Communications System - Reallocate spending components within current contract ceiling amount. Term: No change. Amount: No change.,,no change,,,Approved,No,,060B1400056,0,,,2016-Dec-7-Summary.pdf,17,"term-only change, no dollar figure"
2016-02-24,Department of Information Technology,2-IT-MOD,modification,ELECTLAW,Montgomery,"Elections Systems and Software, LLC",,,"Information Technology Modification - Statewide Voting System - Add equipment for early voting center. Term: 2/25/16- 3/31/17. Amount: $82,063.",82063.0,fixed,2016-02-25,2017-03-31,withdrawn,No,,COG56420,0,,,2016-Feb-24-Summary.pdf,12,"Board action was 'withdrawn', not approved"
2016-02-24,Department of Information Technology,4-IT-OPT,renewal,DIT,Statewide,"Esri, Inc.",,,"Information Technology Renewal Option - Exercise option; geograpic information system (GIS) software for use by 55 agencies. Term: 4/1/16- 6/30/16. Amount: $208,063.",208063.0,fixed,2016-04-01,2016-06-30,withdrawn,No,,060B6400016,0,,,2016-Feb-24-Summary.pdf,12,"Board action was 'withdrawn', not approved"
2016-01-06,Department of Information Technology,1-GM,award,DNR,Allegany,American Tower LLC,,,"Information Technology - Resource Sharing Agreement - Use State land for wireless telecommunications site in lieu of quite title action. Term: 10 years. Revenue Amount: $216,083 for full term and 25% of gross income.",216083.0,revenue-to-state,,,Approved,No,,,0,,,2016-Jan-6-Summary.pdf,15,"revenue to the state, not an expenditure"
2016-01-06,Department of Information Technology,2-IT,award,DIT,Statewide,"Day 1 Solutions, LLC",,,"Information Technology - Public cloud hosting and disaster recovery services. Term: 1/27/16- 7/31/17. Amount: $20,000,000.",20000000.0,fixed,2016-01-27,2017-07-31,withdrawn,yes,,060B6400011,0,,,2016-Jan-6-Summary.pdf,15,"Board action was 'withdrawn', not approved"
2016-07-27,Department of Information Technology,1-IT,award,HCD,Statewide,"Agate Software, Inc.",,,"Information Technology - IntelliGrants Software; comprehensive grant management system for community development and revitalization programs. Term: 8/18/16- 8/17/17. Amount: $438,375.",438375.0,fixed,2016-08-18,2017-08-17,withdrawn,No,,S00B7400001,0,,,2016-July-27-Summary.pdf,19,"Board action was 'withdrawn', not approved"
2016-07-06,Department of Information Technology,1-GM,award,ELECTLAW,N/A,"Elections Systems and Software, LLC",,,General Miscellaneous - Express Poll - Correct DoIT Item 3-IT (1/6/16) term expiration date from 2/28/16 to 12/31/16. Amount: No Change.,,no change,,,Approved,No,,D38B6400014,0,,,2016-July-6-Summary.pdf,16,"term-only change, no dollar figure"
2016-06-08,Department of Information Technology,6-IT-MOD,modification,PS,Statewide,"3M Cogent, Inc.",,,"Information Technology Modification - Maryland Automated Fingerprint Identification System (MAFIS) - Extend term; maintenance and technical support. Term: 7/1/16- 6/30/19. Amount: $586,247.",586247.0,fixed,2016-07-01,2019-06-30,withdrawn,No,,Q00B6400070,0,,,2016-June-8-Summary.pdf,28,"Board action was 'withdrawn', not approved"
2016-03-23,Department of Information Technology,1-IT,award,DIT,Statewide,"-- Solutions Computer Inc. Inc. Computing Avenue, LLC One River Enterprise LLC Pointe Technologies LLC Consulting, Inc. Hill Solutions Inc. API Group, Inc. LLC Builders, Inc. Public Sector, Inc. c/o Esi Inc. Public Safety & Solutions, Inc. Inc. Inc. Consulting Group, Technologies, LLC USA, Inc. Computer Solutions, Inc. IT Technologies Computer Supply Inc. Inc dba Frank Parsons Resources, Inc. Scripta LLC Inc.",,,"Information Technology - Award 37 indefinite quantity purchase order request for proposals-based master contracts; commercial off the shelf software, installation, training services and maintenance. Term: 3/23/16- 7/23/27. Amount: $71,000,000.",71000000.0,fixed,2016-03-23,2027-07-23,withdrawn,No,,060B2490021,1,,,2016-Mar-23-Summary.pdf,11,"Board action was 'withdrawn', not approved"
2016-05-11,Department of Information Technology,1-GM,award,DNR,Montgomery,"USA Fiber, LLC",,,"General Miscellaneous - Approve resource-sharing agreement for non-exclusive use of State rights of way in exchange for use of fibers and interconnection to fiber assets. Term: 5/11/16- 5/11/41. Estimated value $1,150,110 (25 years).",,,2016-05-11,2041-05-11,Approved,No,,,0,,,2016-May-11-Summary.pdf,15,no dollar figure on the item
2016-05-11,Department of Information Technology,8-IT-MOD,modification,HMH,Statewide,"Cognosante Consulting, LLC",,,"Information Technology Modification/Option - Medicaid Management Information System - Assess impact of termination and develop plan for replacement project; exercise renewal option. Term: 6/1/16- 5/31/17. Modification Amount: $1,051,461/Option Amount: $2,597,338.",1051461.0,fixed,2016-06-01,2017-05-31,withdrawn,No,,COG68205,0,,,2016-May-11-Summary.pdf,16,"Board action was 'withdrawn', not approved"
2016-11-16,Department of Information Technology,1-IT,award,DNR,Statewide,"CAMIS USA, Inc",,,"Information Technology - Maryland State Parks - Reservation system. Term: 4/1/17 - 3/31/20 (2 one-yr options). Revenue Generating Contract: $1,412,250.",,,2017-04-01,2020-03-31,Approved,No,,K00B7400059,0,,,2016-Nov-16-Summary.pdf,12,no dollar figure on the item
2016-11-16,Department of Information Technology,2-IT,award,DIT,Statewide,"-- 3 Communications, LLC Business Network Inc.",,,"Information Technology - Statewide transition to voice-over internet protocol; transfer long-distance & toll-free services. Term: 11/17/16 - 11/16/19. Amount: $14,067,443. Voice-over-IP $6,476,087.00 Verizon, Long Distance/Toll Free $7,591,356.00",14067443.0,fixed,2016-11-17,2019-11-16,withdrawn,No,,,0,,,2016-Nov-16-Summary.pdf,12,"Board action was 'withdrawn', not approved"
2016-11-16,Department of Information Technology,4-IT,modification,DIT,Statewide,"-- Teknology Video Technology Technologix, Inc. Group, Inc. Corporation Box Network Services Technologies LLC) Security Services Inc. River Enterprise Pointe Technologies Sales, Data Systems Point Systems, LLC Office Products Communication Group Telecom Technologies, Inc. Investment Corp. GCA Computer International Inc. America Business Inc. Communications Inc. dba/Verizon Services",,,Information Technology Modification - Add 22 companies; hardware master contract. Term: 12/1/16 - 11/14/27. Amount: no increase.,,,2016-12-01,2027-11-14,Approved,No,,060B2490022,1,,,2016-Nov-16-Summary.pdf,13,no dollar figure on the item
2016-11-02,Department of Information Technology,2-IT,award,COMP,Statewide,"Lexis Nexis Risk Solutions FL, Inc.",,,"Information Technology - Fraud detection system enhancements. Term: 11/16/16 - 11/15/17. Amount: $1,920,125.",1920125.0,fixed,2016-11-16,2017-11-15,withdrawn,No,,E00B7400018,0,,,2016-Nov-2-Summary.pdf,10,"Board action was 'withdrawn', not approved"
2017-04-26,Department of Information Technology,1-GM,award,DNR,Harford,AT&T Corp.,,,"Resource Sharing Agreement - Gunpowder Falls State Park- cable crossing. Term: 5/11/2017-4/26/2027. Revenue: $11,000.",11000.0,revenue-to-state,2017-05-11,2027-04-26,Approved,No,,,0,,,2017-Apr-26-Summary.pdf,17,"revenue to the state, not an expenditure"
2017-04-26,Department of Information Technology,2-IT,award,COMP,Anne Arundel,IBM Corporation,,,"Service Contract - Software maintenance and supoort services. Term: 7/1/2017-6/30/2018. Amount: 2,731,271.",,,2017-07-01,2018-06-30,Approved,No,,E00B7400041,0,,,2017-Apr-26-Summary.pdf,17,no dollar figure on the item
