contract_id,agency,vendor_clean,n_items,n_awards,n_changes,first_item_date,last_item_date,original_approved_usd,later_approved_usd,total_approved_usd,growth_usd,growth_pct,months_to_first_change,in_growth_analysis,exclusion_reason,multi_vendor
001B0600162,MSP,nec of america,1,1,0,2023-11-29,2023-11-29,645703.0,0,645703.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
001B0600473,DGS,metrc novation from franwell,1,0,1,2020-07-22,2020-07-22,,310000.0,310000.0,,,,0,no original award inside the window - only later changes were captured,0
001B3600044,DGS,carahsoft technology,1,1,0,2023-09-06,2023-09-06,15000000.0,0,15000000.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
001B3600059,DGS,town hall streams,1,1,0,2024-06-05,2024-06-05,84360.0,0,84360.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
001B3600087,DGS,verizon maryland,1,1,0,2024-07-17,2024-07-17,12329199.0,0,12329199.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
001B3600088,DGS,cmd investment group,3,1,2,2024-12-18,2025-05-21,73254.0,3000000.0,3073254.0,3000000.0,4095.34,4,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
001B3600339,DGS,shi international,1,1,0,2023-04-19,2023-04-19,40411549.0,0,40411549.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
001B4600119,DGS,centurylink communications d b a lumen technologies group,1,1,0,2024-02-28,2024-02-28,8000000.0,0,8000000.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
001B4600127,DGS,gartner,1,1,0,2024-01-17,2024-01-17,400000.0,0,400000.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
001B4600129,DGS,MCI Communication Services Inc. d/b/a Verizon Business Services (Verizon),1,1,0,2023-11-29,2023-11-29,5000000.0,0,5000000.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",1
001B5600002,DGS,".. Telecommunication Technologies, Inc. Communications Technologies Electronics Group, Inc. One Technology Corp Technology Group Installation, Inc. Information Technology Technology LLC Maryland Cable, Inc. Specialties, Inc. Technologies, LLC",1,1,0,2024-08-07,2024-08-07,15000000.0,0,15000000.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",1
001B5600102,DGS,jobaps,1,1,0,2024-08-07,2024-08-07,3474150.0,0,3474150.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
001B5600234,DGS,bi,1,1,0,2025-02-26,2025-02-26,2600049.0,0,2600049.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
001B5600235,DGS,".. Consulting, LLC Business Consulting, Inc. Professional Service dba LLC Corporation Inc. Consultants, Inc. Inc. Inc. Corporation - Services Division Systems Claims Solutions, Inc. Inc. Century Technologies, Information Solution, Inc. Inc. Point Global Technologies LLC Technology LLC Solutions LLC Software Alliant, Inc. Technologies, Inc. JV LLC Software LLC Infotech, Inc. IT Solutions Networks, LLC Hoc LLC Inc. Inc. Zion, LLC Technology, Inc. Services, Inc. Infotech, Inc.",1,1,0,2025-02-26,2025-02-26,445000000.0,0,445000000.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",1
001B5600254,DGS,shi international,1,1,0,2025-08-27,2025-08-27,166562500.0,0,166562500.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
001B5600375,DGS,kpmg,1,1,0,2025-05-21,2025-05-21,19810000.0,0,19810000.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
001B6600073,DGS,navitas business consulting,1,1,0,2025-08-27,2025-08-27,685802.0,0,685802.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
001B8400464,DGS,shi international,1,0,1,2018-06-20,2018-06-20,,116562.0,116562.0,,,,0,no original award inside the window - only later changes were captured,0
01P4600113,DOT/MVA,atlantic technology group,1,1,0,2024-04-03,2024-04-03,53764.0,0,53764.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
0606B9800036,DIT,motorola,1,0,1,2017-04-05,2017-04-05,,10000000.0,10000000.0,,,,0,no original award inside the window - only later changes were captured,0
060B0600035,DIT,colossus d b a interact public safety systems,1,0,1,2019-11-20,2019-11-20,,2800000.0,2800000.0,,,,0,no original award inside the window - only later changes were captured,0
060B0610032/36000,DIT,".. Schell Consulting, Inc. Tech, Inc. Technology Inc. Technology Group, Corporation",2,0,2,2024-08-07,2025-05-07,,0,0,,,,0,no original award inside the window - only later changes were captured,1
060B1400055,DIT,colossus d b a interact public safety systems,2,0,2,2017-10-18,2018-10-17,,5600000.0,5600000.0,,,,0,no original award inside the window - only later changes were captured,0
060B1400067,DIT,"-- Underground, Inc. Systems, Inc. Underground Cable Co. Inc. & McCoy, Inc. Contracting Co. Communications Technology LLC Communications, Engineering & Inc. Communications Plus Electric, Inc. Network LLC Maryland Cable, Group, Inc. Select Services, Inc.",1,0,1,2016-08-17,2016-08-17,,0,0,,,,0,no original award inside the window - only later changes were captured,1
060B2490001,DIT,sada systems,1,0,1,2016-07-06,2016-07-06,,18719250.0,18719250.0,,,,0,no original award inside the window - only later changes were captured,0
060B2490021,DIT,"-- Solutions Computer Inc. Software Solutions, Inc. Inc. Computing One River Enterprise LLC Pointe Technologies LLC Consulting, Inc. Systems Institute Hill Solutions Inc. API Inc. LLC Builders, Inc. Public Sector, Inc. c/o Esi Inc. Public Safety & Solutions, Inc. Inc. Inc. Consulting Group, Technologies, Inc. Information Systems USA, Inc. Computer Solutions, Inc. IT Technologies Computer Supply Inc. Inc. dba Frank Co. Resources, Inc. Scripta, LLC Inc.",2,1,1,2016-04-27,2026-02-18,71000000.0,200000000.0,271000000.0,200000000.0,281.69,118,0,"item covers several vendors, so the money is not one contract's",1
060B2490023,DIT,"Various Consulting, LLC F50B800014 Inc. R00B060024 Corporation of America R00B060023",14,1,13,2019-08-14,2026-01-28,13581071.0,510324489.6,523905560.6,510324489.6,3757.62,5,0,"item covers several vendors, so the money is not one contract's",1
060B2490024,DIT,shi international,4,0,4,2016-04-27,2019-01-02,,51000000.0,51000000.0,,,,0,no original award inside the window - only later changes were captured,0
060B3490012,DBM/OPSB,oakland consulting group,1,0,1,2018-01-24,2018-01-24,,0,0,,,,0,no original award inside the window - only later changes were captured,0
060B3600001,DIT,".. Inc. Network Group, LLC Consulting, Inc. LLP IT Solutions, LLC Information Inc. Performance Consulting LLC d/b/a i4DM Vision LLC Communications",1,0,1,2023-08-23,2023-08-23,,0,0,,,,0,no original award inside the window - only later changes were captured,1
060B6400016,DIT,environmental systems research institute,1,0,1,2016-03-09,2016-03-09,,208063.0,208063.0,,,,0,no original award inside the window - only later changes were captured,0
060B6400028,DIT,-- Systems Institute Inc. Geospatial Bowes,1,1,0,2016-06-22,2016-06-22,9000000.0,0,9000000.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
060B6400046,DIT,"-- Underground Underground Telecommunications LLC Media Technologies, Inc. Communications, & Consulting, LLC Technical Services, LTC Inc. & McCoy Technologies Communications Electronic Group, Inc. Technology Inc. Communications Technology Inc. Innovations, LLC Installations, Inc. Rea Corp. IT Technology Solutions Enterprise, Inc. Specialties",1,1,0,2016-10-19,2016-10-19,35000000.0,0,35000000.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
060B7400056,DIT,"-- Georgraphics, Inc. Spatial Consulting & Tech. LLC Technologies Solutions, LLC Inc. Solutions Research, Inc. Baker International",3,3,0,2018-06-20,2023-07-19,10000000.0,0,20112916.67,10112916.67,101.13,,0,"item covers several vendors, so the money is not one contract's",1
060B7400088,DIT,"-- Corporation Systems, Inc. Networks Advisors Communications, Inc. Consulting, LLC Inc. dba CL Electronics, Inc. Inc. Communications, Ltd. Direct, LLC Networks Communications Inc. Solutions of a Lifetime LLC dba Car Supply Corporation LLC Solutions Public Safety, LLC Inc. Technologies Radio Service, Inc. t/a Communications Communications Inc.",1,1,0,2017-12-20,2017-12-20,100000000.0,0,100000000.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
060B8400093,DIT,"-- Seals Society DC, MD, VA Marylanders Growth through (IMAGE) Inc.",1,1,0,2018-12-19,2018-12-19,379622.0,0,379622.0,0.0,0.0,,0,"item covers several vendors, so the money is not one contract's",1
060B9400040,DBM/OPSB,oakland consulting group,1,0,1,2018-10-17,2018-10-17,,29455000.0,29455000.0,,,,0,no original award inside the window - only later changes were captured,0
060B9400116,DIT,verizon maryland,1,0,1,2019-05-08,2019-05-08,,5000000.0,5000000.0,,,,0,no original award inside the window - only later changes were captured,0
060B9800036,DIT,motorola,1,0,1,2020-01-08,2020-01-08,,1383474.0,1383474.0,,,,0,no original award inside the window - only later changes were captured,0
50P5600007,DIT,innosoft,1,1,0,2024-07-17,2024-07-17,831600.0,0,831600.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",1
60B3490013,DIT,verizon maryland,1,0,1,2021-06-02,2021-06-02,,7021192.0,7021192.0,,,,0,no original award inside the window - only later changes were captured,0
AG262000IT,DOT/MTA,p and c insurance systems,1,1,0,2026-06-18,2026-06-18,952760.0,0,952760.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
AG262004IT,DOT/MTA,swiftly,1,1,0,2025-12-17,2025-12-17,4059481.0,0,4059481.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
BPM036718,DIT,en net,1,1,0,2023-06-07,2023-06-07,618795.94,0,618795.94,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
BPM036781,DIT,applied technology services,1,1,0,2023-06-07,2023-06-07,6429899.0,0,6429899.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
BPM036784,DIT,en net,1,1,0,2023-06-07,2023-06-07,1268697.49,0,1268697.49,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
BPM037385,DBM,shi international,1,1,0,2023-06-21,2023-06-21,327918.0,0,327918.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
BPM037680,DIT,cas severn,1,1,0,2023-09-06,2023-09-06,314999.0,0,314999.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
BPM038207,MSP,usc canterbury,1,1,0,2023-08-02,2023-08-02,250425.0,0,250425.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
